Date,Team 1,FT,Team 2
2015-08-08,Man United,1-0,Tottenham
2015-08-08,Bournemouth,0-1,Aston Villa
2015-08-08,Everton,2-2,Watford
2015-08-08,Leicester,4-2,Sunderland
2015-08-08,Norwich,1-3,Crystal Palace
2015-08-08,Chelsea,2-2,Swansea
2015-09-08,Arsenal,0-2,West Ham
2015-09-08,Newcastle,2-2,Southampton
2015-09-08,Stoke,0-1,Liverpool
2015-10-08,West Brom,0-3,Man City
2015-14-08,Aston Villa,0-1,Man United
2015-15-08,Southampton,0-3,Everton
2015-15-08,Sunderland,1-3,Norwich
2015-15-08,Swansea,2-0,Newcastle
2015-15-08,Tottenham,2-2,Stoke
2015-15-08,Watford,0-0,West Brom
2015-15-08,West Ham,1-2,Leicester
2015-16-08,Crystal Palace,1-2,Arsenal
2015-16-08,Man City,3-0,Chelsea
2015-17-08,Liverpool,1-0,Bournemouth
2015-22-08,Man United,0-0,Newcastle
2015-22-08,Crystal Palace,2-1,Aston Villa
2015-22-08,Leicester,1-1,Tottenham
2015-22-08,Norwich,1-1,Stoke
2015-22-08,Sunderland,1-1,Swansea
2015-22-08,West Ham,3-4,Bournemouth
2015-23-08,West Brom,2-3,Chelsea
2015-23-08,Everton,0-2,Man City
2015-23-08,Watford,0-0,Southampton
2015-24-08,Arsenal,0-0,Liverpool
2015-29-08,Newcastle,0-1,Arsenal
2015-29-08,Bournemouth,1-1,Leicester
2015-29-08,Aston Villa,2-2,Sunderland
2015-29-08,Chelsea,1-2,Crystal Palace
2015-29-08,Liverpool,0-3,West Ham
2015-29-08,Man City,2-0,Watford
2015-29-08,Stoke,0-1,West Brom
2015-29-08,Tottenham,0-0,Everton
2015-30-08,Southampton,3-0,Norwich
2015-30-08,Swansea,2-1,Man United
2015-12-09,Everton,3-1,Chelsea
2015-12-09,Arsenal,2-0,Stoke
2015-12-09,Crystal Palace,0-1,Man City
2015-12-09,Norwich,3-1,Bournemouth
2015-12-09,Watford,1-0,Swansea
2015-12-09,West Brom,0-0,Southampton
2015-12-09,Man United,3-1,Liverpool
2015-13-09,Sunderland,0-1,Tottenham
2015-13-09,Leicester,3-2,Aston Villa
2015-14-09,West Ham,2-0,Newcastle
2015-19-09,Chelsea,2-0,Arsenal
2015-19-09,Bournemouth,2-0,Sunderland
2015-19-09,Aston Villa,0-1,West Brom
2015-19-09,Newcastle,1-2,Watford
2015-19-09,Stoke,2-2,Leicester
