Date,Team 1,FT,Team 2
2015-08-08,Man United,1-0,Tottenham
2015-08-08,Bournemouth,0-1,Aston Villa
2015-08-08,Everton,2-2,Watford
2015-08-08,Leicester,4-2,Sunderland
2015-08-08,Norwich,1-3,Crystal Palace
2015-08-08,Chelsea,2-2,Swansea
2015-08-09,Arsenal,0-2,West Ham
2015-08-09,Newcastle,2-2,Southampton
2015-08-09,Stoke,0-1,Liverpool
2015-08-10,West Brom,0-3,Man City
2015-08-14,Aston Villa,0-1,Man United
2015-08-15,Southampton,0-3,Everton
2015-08-15,Sunderland,1-3,Norwich
2015-08-15,Swansea,2-0,Newcastle
2015-08-15,Tottenham,2-2,Stoke
2015-08-15,Watford,0-0,West Brom
2015-08-15,West Ham,1-2,Leicester
2015-08-16,Crystal Palace,1-2,Arsenal
2015-08-16,Man City,3-0,Chelsea
2015-08-17,Liverpool,1-0,Bournemouth
2015-08-22,Man United,0-0,Newcastle
2015-08-22,Crystal Palace,2-1,Aston Villa
2015-08-22,Leicester,1-1,Tottenham
2015-08-22,Norwich,1-1,Stoke
2015-08-22,Sunderland,1-1,Swansea
2015-08-22,West Ham,3-4,Bournemouth
2015-08-23,West Brom,2-3,Chelsea
2015-08-23,Everton,0-2,Man City
2015-08-23,Watford,0-0,Southampton
2015-08-24,Arsenal,0-0,Liverpool
2015-08-29,Newcastle,0-1,Arsenal
2015-08-29,Bournemouth,1-1,Leicester
2015-08-29,Aston Villa,2-2,Sunderland
2015-08-29,Chelsea,1-2,Crystal Palace
2015-08-29,Liverpool,0-3,West Ham
2015-08-29,Man City,2-0,Watford
2015-08-29,Stoke,0-1,West Brom
2015-08-29,Tottenham,0-0,Everton
2015-08-30,Southampton,3-0,Norwich
2015-08-30,Swansea,2-1,Man United
2015-09-12,Everton,3-1,Chelsea
2015-09-12,Arsenal,2-0,Stoke
2015-09-12,Crystal Palace,0-1,Man City
2015-09-12,Norwich,3-1,Bournemouth
2015-09-12,Watford,1-0,Swansea
2015-09-12,West Brom,0-0,Southampton
2015-09-12,Man United,3-1,Liverpool
2015-09-13,Sunderland,0-1,Tottenham
2015-09-13,Leicester,3-2,Aston Villa
2015-09-14,West Ham,2-0,Newcastle
2015-09-19,Chelsea,2-0,Arsenal
2015-09-19,Bournemouth,2-0,Sunderland
2015-09-19,Aston Villa,0-1,West Brom
2015-09-19,Newcastle,1-2,Watford
2015-09-19,Stoke,2-2,Leicester
